1,1749870393.532195,더듬뿍망고케이크,더 등밟 망고 테이크,53,1369,710
1,1749870495.285551,더듬뿍망고케이크,더 등밟 망고 테이크,53,1369,710
1,1749870551.383857,더듬뿍망고케이크,더 등백 망고 켜이크,53,1369,709
1,1749870698.4670167,더듬뿍망고케이크,더 등백 망고 켜이크,53,1369,709
1,1749871221.2919428,더듬뿍망고케이크,더 등백 망고 켜이크,53,1369,709
2,1749871225.2029388,결제,결제,100,1492,226
1,1749871427.1787822,더듬뿍망고케이크,더 등밟 망고 테이크,53,1369,710
1,1749871566.1193886,더듬뿍망고케이크,더 등백 망고 켜이크,53,1369,709
4,1749871577.0922549,결제,결제,100,1492,226
1,1749871636.1923811,더듬뿍망고케이크,더 등백 망고 켜이크,53,1369,709
2,1749871640.0541313,결제,결제,100,1492,226
1,1749871680.6394188,더듬뿍망고케이크,더 등백 망고 켜이크,53,1369,709
5,1749871696.7862656,결제,결제,100,1492,226
1,1749871898.2523408,더듬뿍망고케이크,더 등밟 망고 테이크,53,1369,710
1,1749872036.1716042,더듬뿍망고케이크,더 등밟 망고 테이크,53,1369,710
7,1749872060.099453,결제,결제,100,1492,226
